player_id,team,position,season
8470600,DAL,D,20232024
8470604,PIT,C,20232024
8470610,COL,L,20232024
8470613,CAR,D,20232024
8470621,EDM,R,20232024
8470794,DAL,C,20232024
8470966,TOR,D,20232024
8471214,WSH,L,20232024
8471215,PIT,C,20232024
8471218,NYR,R,20232024
8471274,MIN,D,20232024
8471675,PIT,C,20232024
8471677,COL,D,20232024
8471685,LAK,C,20232024
8471686,PHI,D,20232024
8471698,WSH,R,20232024
8471699,COL,C,20232024
8471709,SJS,D,20232024
8471724,PIT,D,20232024
8471817,TOR,R,20232024
8473419,BOS,L,20232024
8473422,CHI,L,20232024
8473446,PHI,D,20232024
8473449,FLA,R,20232024
8473453,LAK,C,20232024
8473473,BOS,L,20232024
8473504,NYI,R,20232024
8473507,DET,D,20232024
8473512,OTT,R,20232024
8473533,CAR,C,20232024
8473563,WSH,C,20232024
8473986,ANA,L,20232024
8473994,DAL,L,20232024
8474009,NYR,C,20232024
8474013,VAN,D,20232024
8474031,BOS,D,20232024
8474034,BOS,L,20232024
8474037,BOS,L,20232024
8474040,EDM,C,20232024
8474053,SJS,C,20232024
8474062,NYR,C,20232024
8474090,NJD,D,20232024
8474102,DET,L,20232024
8474141,DET,R,20232024
8474145,NYI,D,20232024
8474149,DAL,R,20232024
8474150,CGY,C,20232024
8474151,NSH,D,20232024
8474157,WSH,L,20232024
8474166,VGK,D,20232024
8474189,PIT,C,20232024
8474563,LAK,D,20232024
8474564,TBL,C,20232024
8474565,VGK,D,20232024
8474567,MIN,D,20232024
8474568,NSH,D,20232024
8474574,VAN,D,20232024
8474578,PIT,D,20232024
8474586,SEA,R,20232024
8474590,WSH,D,20232024
8474600,NSH,D,20232024
8474602,SEA,D,20232024
8474612,OTT,D,20232024
8474618,STL,D,20232024
8474641,EDM,C,20232024
8474673,TOR,D,20232024
8474679,NSH,R,20232024
8474709,NYI,L,20232024
8474715,PHI,R,20232024
8474716,MIN,D,20232024
8474870,CHI,C,20232024
8474884,SJS,C,20232024
8475149,MIN,L,20232024
8475151,NYI,C,20232024
8475158,NSH,C,20232024
8475164,ANA,R,20232024
8475166,TOR,C,20232024
8475167,TBL,D,20232024
8475168,DAL,C,20232024
8475169,EDM,L,20232024
8475170,STL,C,20232024
8475171,FLA,D,20232024
8475172,CGY,C,20232024
8475177,TBL,D,20232024
8475179,FLA,D,20232024
8475181,STL,D,20232024
8475184,NYR,L,20232024
8475188,VGK,D,20232024
8475191,PIT,R,20232024
8475193,SEA,L,20232024
8475197,NSH,D,20232024
8475200,CAR,D,20232024
8475208,SEA,D,20232024
8475218,EDM,D,20232024
8475220,MIN,L,20232024
8475225,DAL,C,20232024
8475231,NYI,C,20232024
8475233,MTL,D,20232024
8475235,PHI,L,20232024
8475278,VGK,C,20232024
8475279,DET,D,20232024
8475287,NJD,L,20232024
8475314,NYI,L,20232024
8475324,WSH,D,20232024
8475343,WSH,C,20232024
8475413,NJD,C,20232024
8475455,WPG,D,20232024
8475462,ANA,D,20232024
8475690,DAL,D,20232024
8475692,MIN,R,20232024
8475714,TOR,C,20232024
8475718,DET,D,20232024
8475722,NSH,L,20232024
8475726,WPG,C,20232024
8475744,CAR,C,20232024
8475745,BOS,C,20232024
8475750,MIN,D,20232024
8475752,NYR,C,20232024
8475753,STL,D,20232024
8475754,NYI,C,20232024
8475755,DAL,D,20232024
8475760,ARI,C,20232024
8475762,BOS,D,20232024
8475763,STL,R,20232024
8475764,ANA,D,20232024
8475765,FLA,R,20232024
8475766,TBL,L,20232024
8475768,SEA,C,20232024
8475780,COL,R,20232024
8475784,BUF,L,20232024
8475786,EDM,L,20232024
8475790,CBJ,D,20232024
8475791,CHI,L,20232024
8475793,COL,C,20232024
8475794,DAL,C,20232024
8475795,WSH,D,20232024
8475797,CHI,D,20232024
8475798,SJS,C,20232024
8475799,WPG,R,20232024
8475810,PIT,R,20232024
8475825,DAL,D,20232024
8475842,EDM,C,20232024
8475848,MTL,R,20232024
8475855,CAR,R,20232024
8475906,TOR,D,20232024
8475913,VGK,R,20232024
8475958,WSH,C,20232024
8476278,CHI,C,20232024
8476292,NJD,L,20232024
8476312,COL,D,20232024
8476323,SEA,L,20232024
8476329,ARI,C,20232024
8476331,WPG,D,20232024
8476346,CBJ,L,20232024
8476372,PHI,D,20232024
8476374,CBJ,C,20232024
8476389,NYR,C,20232024
8476392,WPG,C,20232024
8476393,FLA,C,20232024
8476399,CGY,L,20232024
8476419,NYI,C,20232024
8476422,NYI,D,20232024
8476429,NYI,D,20232024
8476432,CBJ,C,20232024
8476438,STL,L,20232024
8476441,TOR,D,20232024
8476442,PIT,L,20232024
