id,text,user,created_at,coding
1.84488e+18,"The United Nations’ (UN) World Health Organization (WHO) has admitted that “monkeypox” is actually a “side effect” of Covid mRNA “vaccines.”
The admission is buried on the WHO’s VigiAccess website.
The website contains a database that lists all known side effects of all drugs and https://t.co/XWZXYlyxVJ",toobaffled,Fri Oct 11 23:07:21 +0000 2024,"false claims posing as official source, harmful, vaccine conspiracy fear mongering"
1.85192e+18,Breaking news: Batshit Bonkers Britain #Biden #Trump #RachelReeves #Mpox #budget #SethRich https://t.co/XnLhcpN9Ye,KTHopkins,Thu Oct 31 09:17:35 +0000 2024,unrelated
1.84657e+18,"BREAKING: The NIH has announced that the MVA-BN vaccine for Mpox (Monkeypox) is safe, for adolescents, showing a strong antibody response.

Cue the anti-vax conspiracy crowd, ready to swap their tinfoil hats for lab coats and play scientist. https://t.co/v1Fcu5h6Sh",krassenstein,Wed Oct 16 14:58:37 +0000 2024,"safe, reaction to misinformation"
