date_time,distance,ride_intensity
5/26/2022 15:55,32.2,173.867
6/22/2022 18:41,26.3,158.567
5/15/2022 10:46,26.07,153.067
5/29/2022 20:11,22.81,147.7
6/8/2022 13:12,19.34,133.1
6/2/2022 12:27,17.36,128.067
6/7/2022 14:11,16.49,120.433
6/6/2022 12:47,16.55,120.133
6/3/2022 15:12,16.75,118.433
5/30/2022 14:55,16.06,116.367
